流水號,文章來源或個人分類,加入日期,急迫程度,挑選文章的老師,NOTE,Citation,Citation Update,Author(s)-Last Name,Author(s) -Full Name,Year,Paper Name,Journal name,Journal Abbreviations,Vol.(No.),Page,Symposium,JEL code,keyword,PDF檔名,初稿完成日期,最近更新日期,全文,文章進度,資料夾link,原文link,中文link,check log,check
000124,NE seminar,20190901.0,D,,,236.0,,Lewis,Gregory Lewis,2011.0,"Asymmetric Information, Adverse Selection and  Online Disclosure: The Case of eBay Motors",American Economic Review,AER,101(4),1535–1546,,,,"118. Lewis(2011)_Asymmetric Information, Adverse Selection and Online Disclosure_The Case of eBay Motors_American Economic Review 101 (June 2011) 1535–1546",2020-02-05 00:00:00,2020-02-05 00:00:00,0,1.0,/volume1/web/DB/000124,"/volume1/web/DB/118. Lewis(2011)_Asymmetric Information, Adverse Selection and Online Disclosure_The Case of eBay Motors_American Economic Review 101 (June 2011) 1535-1546_en.pdf",/volume1/web/DB/Lewis2011_AER_inChinese_20200205_pcn.pdf,2020-07-02 00:00:34.059863,1
000125,NE seminar,20190901.0,D,,,418.0,,Ockenfels,Roth and Ockenfels,2006.0,Late and Multiple Bidding in Second Price Internet Auctions Theory and Evidence Concerning Different Rules for Ending An Auction,Games and Economic Behavior,GamesEBeh,55,297-320,,"C73, C90, D44","Internet auctions, Second price auctions, eBay, Amazon, Sniping, Market design",69. Roth and Ockenfels(2006)_Late and Multiple Bidding in Second Price Internet Auctions Theory and Evidence Concerning Different Rules for Ending An Auction_Games and Economic Behavior 55 (2006) 297–320,2020-03-04 00:00:00,2020-03-04 00:00:00,0,1.0,/volume1/web/DB/000125,/volume1/web/DB/Ockenfels  and Roth (2006)_Late and multiple bidding in second price Internet auctions_Games and Economic Behavior??55??297-320_en.pdf,/volume1/web/DB/Ockenfels_Roth2006_GEB_inChinese_20200304_pcn.pdf,2020-07-02 00:00:34.060107,1
000126,NE seminar,20190901.0,D,,,6.0,,Png,Ivan Png,2018.0,"Law, Social Responsibility, and Outsourcing",International Journal of Industrial Organization,IJIO,57,11-146,,,,"30. Ivan Png(2018)_Law, Social Responsibility, and Outsourcing  Qiang Fu,  Jie Gong & Ivan Png_International Journal of Industrial Organization 57 (2018) 114–146",2020-02-04 00:00:00,2020-02-04 00:00:00,0,1.0,/volume1/web/DB/000126,"/volume1/web/DB/30. Ivan Png(2018)_Law, Social Responsibility, and Outsourcing  Qiang Fu,  Jie Gong & Ivan Png_International Journal of Industrial Organization 57 (2018) 114-146_en.pdf",/volume1/web/DB/Fu_Gong_Png2018_IJIO_inChinese_20200204_pcn.pdf,2020-07-02 00:00:34.060347,1
000127,NE seminar,20190901.0,D,,,208.0,,Wright,Wright,2002.0,Access Pricing under Competition： An Application to Cellular Networks,Journal of Industrial Economics,JIE,50(3),289-315,,,,"72. Wright(2002)_ Access Pricing under Competition： An Application to Cellular Networks_The Journal of Industrial Economics, Vol. 50, No. 3 (Sep., 2002), pp. 289-315",2020-02-05 00:00:00,2020-02-05 00:00:00,0,1.0,/volume1/web/DB/000127,/volume1/web/DB/Wright(2002)_ Access Pricing under Competition An Application to Cellular Networks_The Journal of Industrial Economics_50(3)_289-315_en.pdf,/volume1/web/DB/Wright2002_JIE_inChinese_20200205_pcn.pdf,2020-07-02 00:00:34.060564,1
000128,NE seminar,20190901.0,D,,,44.0,,Zhang,Jun Zhang,2015.0,Information Disclosure in Contests_A Bayesian Persuasion Approach,Economic Journal,EJ,126,2197-2217,,,,"32. Jun Zhang(2015)_Information Disclosure in Contests_A Bayesian Persuasion Approach_The Economic Journal,126 (November), 2197–2217. Doi 10.1111",2020-03-04 00:00:00,2020-03-04 00:00:00,0,1.0,/volume1/web/DB/000128,"/volume1/web/DB/32. Zhang & Zhou(2015)_Information Disclosure in Contests_A Bayesian Persuasion Approach_The Economic Journal,126 (Nov)2197-2217_en.pdf",/volume1/web/DB/Zhang_Zhou2015_TEJ_inChinese_20200304_pcn.pdf,2020-07-02 00:00:34.060791,1
000129,NE seminar,20190901.0,D,,,1.0,,Chen and Ishida,"Chia-Hui Chena, Junichiro Ishidab",2015.0,Careerist Experts and Political Incorrectness,Journal of Economic Behavior & Organization,JEBehOrg,120,1–18,,,,56.  Chen and Ishida(2015)_Careerist Experts and Political Incorrectness_JournalofEconomicBehavior&Organization120(2015)1–18,2020-03-04 00:00:00,2020-03-04 00:00:00,0,1.0,/volume1/web/DB/000129,/volume1/web/DB/56.  Chen and Ishida(2015)_Careerist Experts and Political Incorrectness_JournalofEconomicBehavior&Organization120(2015)1-18_en.pdf,/volume1/web/DB/Chen_Ishida2015_JournalofEconomicBehaviorOrganization_inChinese_20200304_pcn.pdf,2020-07-02 00:00:34.061008,1
000130,NE seminar,20190901.0,D,,,150.0,,Chandra & Collard-Wexler,Ambarish Chandra & Allan Collard-Wexler,2009.0,Mergers in Two‐Sided Markets - An Application to the Canadian Newspaper Industry,Journal of Economics & Management Strategy,JEManageStrat,18(4),1045–1070,,,,"93. Ambarish Chandra & Allan Collard-Wexler(2009)_Mergers in Two‐Sided Markets - An Application to the Canadian Newspaper Industry_Journal of Economics & Management Strategy, Volume 18, Num",2020-03-04 00:00:00,2020-03-04 00:00:00,0,1.0,/volume1/web/DB/000130,"/volume1/web/DB/93. Ambarish Chandra & Allan Collard-Wexler(2009)_Mergers in Two???Sided Markets_Journal of Economics & Management Strategy, Volume 18, Num_en.pdf",/volume1/web/DB/Chandra_CollardWexler2009_JEManagementStrategy_inChinese_20200304_pcn.pdf,2020-07-02 00:00:34.061260,1
000131,NE seminar,20190901.0,D,,,142.0,,Hagiu and Lee,Hagiu and Lee,2011.0,Exclusivity and Control,Journal of Economics & Management Strategy,JEManageStrat,20(3),679–708,,,,"112. Hagiu and Lee(2011)_Exclusivity and Control_Journal of Economics & Management Strategy, Volume 20, Number 3, Fall 2011, 679–708",2020-03-03 00:00:00,2020-03-03 00:00:00,0,1.0,/volume1/web/DB/000131,"/volume1/web/DB/112. Hagiu and Lee(2011)_Exclusivity and Control_Journal of Economics & Management Strategy, Volume 20, Number 3, Fall 2011, 679-708_en.pdf",/volume1/web/DB/Hagiu_Lee2011_JEManagementStrategy_inChinese_20200303_pcn.pdf,2020-07-02 00:00:34.061479,1
000132,NE seminar_priority,20190901.0,A,陳嘉雯,,29.0,,"Einav, Finkelstein and Mahoney","Liran Einav, Amy Finkelstein and Neale Mahoney",2018.0,Provider Incentives and Healthcare Costs: Evidence From Long‐Term Care Hospitals,Econometrica,Econometrica,86(6),2161-2219,,,"Healthcare, Post-Acute Care, Financial Incentives, Nonlinear Contracts","Einav ,Finkelstein, Mahon (2018)_Provider Incentives and Health Care Costs - Evidence from Long-Term Care Hospitals_Econometrica 86(6), 2161-2219",2019-09-10 00:00:00,2019-10-07 00:00:00,0,2.0,/volume1/web/DB/000132,"/volume1/web/DB/Einav ,Finkelstein, Mahon (2018)_Provider Incentives and Health Care Costs_Econometrica 86(6), 2161-2219_en.pdf",/volume1/web/DB/Einav_Finkelstein_Mahoney2018_Econometrica_inChinese_20191007_pcnn.pdf,2020-07-02 00:00:34.071108,1
000133,NE seminar_priority,20190901.0,A,,,11.0,,Ishihara,Akifumi Ishihara,2017.0,Relational Contracting and Endogenous Formation of Teamwork,RAND Journal of Economics,RAND,48(2),335-357,,,,"23. Ishihara (2017)_Relational Contracting and Endogenous Formation of Teamwork_RAND Journal of Economics 48(2), 335-357",2019-09-10 00:00:00,2019-09-10 00:00:00,0,1.0,/volume1/web/DB/000133,"/volume1/web/DB/23. Ishihara (2017)_Relational Contracting and Endogenous Formation of Teamwork_RAND Journal of Economics 48(2), 335-357_en.pdf",/volume1/web/DB/Ishihara2017_RAND_inChinese_20190910_pcn.pdf,2020-07-02 00:00:34.070769,1
000134,"AER2018, NE seminar_priority",20190901.0,A,陳為政,要全翻,6.0,,Choi and Spier,Albert H. Choi and Kathryn E. Spier,2018.0,Taking a Financial Position in Your Opponent in Litigation,American Economic Review,AER,108(12),3626-3650,,"D82, G14, K41",,"Choi and Spier (2018)_Taking a Financial Position in Your Opponent in Litigation_AER 108(12), 3626-3650",2019-10-30 00:00:00,2019-10-30 00:00:00,1,1.0,/volume1/web/DB/000134,"/volume1/web/DB/Choi and Spier (2018)_Taking a Financial Position in Your Opponent in Litigation_AER 108(12), 3626-3650_en.pdf",/volume1/web/DB/Choi_Spier2018_AmericanEconomicReview_inChinese_20191030_fcn.pdf,2020-07-02 00:00:34.074046,1
000135,FCLai_New Attention,20190902.0,B,賴孚權,,2054.0,,Hu & Li,"Lin Hu, Anqi Li",2019.0,The Politics of Attention,Working Paper,WorkingPaper,,1-63,," D72, D80",,"Hu and Li (2019)_The Politics of Attention_Working Paper, 1-63",2019-09-02 00:00:00,2019-09-02 00:00:00,0,1.0,/volume1/web/DB/000135,"/volume1/web/DB/Hu and Li (2019)_The Politics of Attention_Working Paper, 1-63_en.pdf",/volume1/web/DB/Hu_Li2019_WorkingPaper_inChinese_20190902_pcn.pdf,2020-07-02 00:00:34.111645,1
000136,FCLai_New Attention,20190902.0,B,賴孚權,,2.0,,Lin,Song Lin,2019.0,Two-Sided Price Discrimination by Media Platforms,Working Paper,WorkingPaper,,1-55,,,"Price discrimination, two-sided market, platform design, media pricing, advertising, ad avoidance, targeting","Lin (2019)_Two-Sided Price Discrimination by Media Platforms_Working Paper, 1-55",2019-09-03 00:00:00,2019-09-03 00:00:00,0,1.0,/volume1/web/DB/000136,"/volume1/web/DB/Lin (2019)_Two-Sided Price Discrimination by Media Platforms_Working Paper, 1-55_en.pdf",/volume1/web/DB/Lin2019_WorkingPaper_inChinese_20190903_pcn.pdf,2020-07-02 00:00:34.111423,1
000137,FCLai_New Attention,20190902.0,B,賴孚權,,9.0,,Prat & Valletti,"Andrea Prat, Tommaso Valletti",2019.0,Attention Oligopoly,Working Paper,WorkingPaper,,1-38,,,,"Prat and Valletti (2019)_Attention Oligopoly_Working Paper, 1-38",2019-09-02 00:00:00,2019-09-12 00:00:00,1,2.0,/volume1/web/DB/000137,"/volume1/web/DB/Prat and Valletti (2019)_Attention Oligopoly_Working Paper, 1-38_en.pdf",/volume1/web/DB/Prat_Valletti2019_WorkingPaper_inChinese_20190912_fcnn.pdf,2020-07-02 00:00:34.112013,1
000138,FCLai_New Attention,20190902.0,B,賴孚權,,537.0,,Webste & Ksiaze,James G. Webster & Thomas B. Ksiazek,2012.0,The Dynamics of Audience Fragmentation: Public Attention in an Age of Digital Media,Journal of Communication,Jcommun,62,39-56,,,,"Webster and Ksiazek (2012)_The Dynamics of Audience Fragmentation_Journal of Communication 62, 39-56",2019-09-02 00:00:00,2019-09-03 00:00:00,0,2.0,/volume1/web/DB/000138,"/volume1/web/DB/Webster and Ksiazek (2012)_The Dynamics of Audience Fragmentation_Journal of Communication 62, 39-56_en.pdf",/volume1/web/DB/Webster_Ksiazek2012_JofCommunication_inChinese_20190903_pcnn.pdf,2020-07-02 00:00:34.111207,1
000139,Excellent J 2019,20190911.0,A,賴孚權,,12.0,,"Agrawal, Gans and Goldfarb","Ajay Agrawal, Joshua S. Gans and Avi Goldfarb",2019.0,Artificial Intelligence: The Ambiguous Labor Market Impact of Automating Prediction,Journal of Economic Perspectives,JEPerspectives,33(2),31-50,Automation and employment,,,,2019-11-22 00:00:00,2019-11-22 00:00:00,1,1.0,/volume1/web/DB/000139,"/volume1/web/DB/Agrawal, Gans, Goldfarb (2019) Artificial Intelligence_JEP 33(2) 31-50_en.pdf",/volume1/web/DB/Agrawal_Gans_Goldfarb2019_JEP_inChinese_20191122_fcn.pdf,2020-07-02 00:00:34.072679,1
000140,Excellent J 2019,20190911.0,C,,,18.0,,"Allcott, Lockwood and Taubinsky","Hunt Allcott, Benjamin B. Lockwood and Dmitry Taubinsky",2019.0,Should We Tax Sugar-Sweetened Beverages? An Overview of Theory and Evidence,Journal of Economic Perspectives,JEPerspectives,33(3),202-27,Articles,,,,2019-10-14 00:00:00,2019-10-14 00:00:00,0,1.0,/volume1/web/DB/000140,"/volume1/web/DB/Allcott, Lockwood, Taubinsky_2019_Should We Tax Sugar-Sweetened Beverages_JEP 33(3) 202-27_en.pdf",/volume1/web/DB/Allcott_Lockwood_Taubinsky2019_JEP_inChinese_20191014_pcn.pdf,2020-07-02 00:00:34.163367,1
000141,Excellent J 2019,20190911.0,C,,,36.0,,"Allcott, Lockwood, Taubinsky","Hunt Allcott, Benjamin B Lockwood, Dmitry Taubinsky",2019.0,"Regressive Sin Taxes, with an Application to the Optimal Soda Tax ",Quarterly Journal of Economics,QJE,134(3),1557–1626,,,,,2020-02-17 00:00:00,2020-02-17 00:00:00,0,1.0,/volume1/web/DB/000141,"/volume1/web/DB/Allcott, Lockwood, Taubinsky (2019)_Regressive Sin Taxes, with an Application to the Optimal Soda Tax_QJE 134(3) 1557-1626_en.pdf",/volume1/web/DB/Alloctt_Lockwood_Taubinsky2019_QJE_inChinese_20200217_pcn.pdf,2020-07-02 00:00:34.163612,1
000142,Excellent J 2019,20190911.0,C,,,49.0,,"Allen, Clark, and Houde","Jason Allen, Robert Clark, and Jean-François Houde",2019.0,Search Frictions and Market Power in Negotiated-Price Markets,Journal of Political Economy,JPE,127(4),1550-1598,,,,,2020-02-17 00:00:00,2020-02-17 00:00:00,0,1.0,/volume1/web/DB/000142,"/volume1/web/DB/Allen, Clark and Houde (2019)_Search Frictions and Market Power in Negotiated-Price Markets_JPE 127(4) 1550-1598_en.pdf",/volume1/web/DB/Allen_Clark_Houde2019_JPE_inChinese_20200217_pcn.pdf,2020-07-02 00:00:34.163871,1
000143,Excellent J 2019,20190911.0,C,,AER百大-pcn,172.0,,"Alstadsæter, Johannesen and Zucman","Annette Alstadsæter, Niels Johannesen and Gabriel Zucman",2019.0,Tax Evasion and Inequality,American Economic Review,AER,109(6),2073-2103,,"D31, H24, H26, K34",0,"Alstadsæter, Johannesen and Zucman (2019)_Tax Evasion and Inequality_AER 109(6) 2073-2103",2019-09-20 00:00:00,2019-09-20 00:00:00,0,1.0,/volume1/web/DB/000143,"/volume1/web/DB/Alstads??ter, Johannesen and Zucman (2019)_Tax Evasion and Inequality_AER 109(6) 2073-2103_en.pdf",/volume1/web/DB/Alstadsater_Johannesen_Zucman2019_AER_inChinese_20190920_pcn.pdf,2020-07-02 00:00:34.164116,1
000144,Excellent J 2019,20190911.0,A,,黃景沂老師可能有興趣?,17.0,,"Anderson, Paddrik and Wang","Haelim Anderson, Mark Paddrik and Jessie Jiaxu Wang",2019.0,Bank Networks and Systemic Risk: Evidence from the National Banking Acts,American Economic Review,AER,109(9),3125-61,,0,0,"Liu, Mierendorff, Shi and Zhong (2019)_Auctions with Limited Commitment_AER 109(3) 876-910",2019-09-18 00:00:00,2019-09-18 00:00:00,0,1.0,/volume1/web/DB/000144,"/volume1/web/DB/Anderson, Paddrik and  Wang (2019)_Bank Networks and Systemic Risk Evidence_AER 109(9) 3125-61_en.pdf",/volume1/web/DB/Anderson_Paddrik_Wang2019_AER_inChinese_20190918_pcn.pdf,2020-07-02 00:00:34.072904,1
000145,Excellent J 2019,20190911.0,C,,,63.0,,Andrews and Kasy,Isaiah Andrews and Maximilian Kasy,2019.0,Identification of and Correction for Publication Bias,American Economic Review,AER,109(8),2766-94,,"C13, C90, I23, J23, J38, L82",0,Andrews and Kasy (2019)_Identification of and Correction for Publication Bias_AER 109(8) 2766-94,2019-09-23 00:00:00,2019-09-23 00:00:00,0,1.0,/volume1/web/DB/000145,/volume1/web/DB/Andrews and Kasy (2019)_Identification of and Correction for Publication Bias_AER 109(8) 2766-94_en.pdf,/volume1/web/DB/Andrews_Kasy2019_AER_inChinese_20190923_pcn.pdf,2020-07-02 00:00:34.164345,1
000146,Excellent J 2019,20190911.0,C,,,59.0,,"Belot, Kircher, Muller","Michèle Belot, Philipp Kircher, Paul Muller",2019.0,Providing Advice to Jobseekers at Low Cost: An Experimental Study on Online Advice ,Review of Economic Studies,REStud,86(4),1411–1447,,,,,2019-09-18 00:00:00,2019-09-18 00:00:00,0,1.0,/volume1/web/DB/000146,"/volume1/web/DB/Belot, Kircher, Muller (2019)_Providing Advice to Jobseekers_RESTUD 86(4) 1411???1447_en.pdf",/volume1/web/DB/Belot_Kircher_Muller2019_RESTUD_inChinese_20190918_pcn.pdf,2020-07-02 00:00:34.164803,1
000147,Excellent J 2019,20190911.0,C,,,156.0,,"Bernard, Moxnes, and Saito","Andrew B. Bernard, Andreas Moxnes, and Yukiko U. Saito",2019.0,"Production Networks, Geography, and Firm Performance",Journal of Political Economy,JPE,127(2),639-688,,,,,2019-09-27 00:00:00,2019-09-27 00:00:00,0,1.0,/volume1/web/DB/000147,"/volume1/web/DB/Bernard, Moxnes and Saito (2019)_Production Networks, Geography, and Firm Performance_JPE 127(2) 639-688_en.pdf",/volume1/web/DB/Bernard_Moxnes_Saito2019_JPE_inChinese_20190927_pcn.pdf,2020-07-02 00:00:34.164565,1
000148,Excellent J 2019,20190911.0,C,,,34.0,,Björkegren,Daniel Björkegren,2019.0,The Adoption of Network Goods: Evidence from the Spread of Mobile Phones in Rwanda ,Review of Economic Studies,REStud,86(3),1033–1060,,,,,2020-02-18 00:00:00,2020-02-18 00:00:00,0,1.0,/volume1/web/DB/000148,/volume1/web/DB/Bj??rkegren (2019)_The Adoption of Network Goods Evidence from the Spread of Mobile Phones in Rwanda_RESTUD 86(3) 1033???1060_en.pdf,/volume1/web/DB/Bjorkegren2019_RESTud_inChinese_20200218_pcn.pdf,2020-07-02 00:00:34.165063,1
000149,Excellent J 2019,20190911.0,C,,,49.0,,"Breza, Chandrasekhar","Emily Breza, Arun G. Chandrasekhar",2019.0,"Social Networks, Reputation, and Commitment: Evidence From a Savings Monitors Experiment",Econometrica,Econometrica,87(1),175-216,,0,"Commitment, reputation, savings, social networks","Breza, Chandrasekhar_2019_Social Networks, Reputation, and Commitment Evidence From a Savings Monitors Experiment_Econometrica 87(1)",2020-02-18 00:00:00,2020-02-18 00:00:00,0,1.0,/volume1/web/DB/000149,"/volume1/web/DB/Breza, Chandrasekhar_2019_Social Networks, Reputation, and Commitment Evidence_Econometrica 87(1)_en.pdf",/volume1/web/DB/Breza_Chandrasekhar2019_Econometrica_inChinese_20200218_pcn.pdf,2020-07-02 00:00:34.165307,1
000150,Excellent J 2019,20190911.0,C,,,57.0,,Byrne and Roos,David P. Byrne and Nicolas de Roos,2019.0,Learning to Coordinate: A Study in Retail Gasoline,American Economic Review,AER,109(2),591-619,,"G34, L12, L13, L71, L81, Q35",0,Byrne and Roos (2019)_Learning to Coordinate A Study in Retail Gasoline_AER 109(2) 591-619,2019-09-27 00:00:00,2019-09-27 00:00:00,0,1.0,/volume1/web/DB/000150,/volume1/web/DB/Byrne and Roos (2019)_Learning to Coordinate A Study in Retail Gasoline_AER 109(2) 591-619_en.pdf,/volume1/web/DB/Byrne_Roos2019_AER_inChinese_20190927_pcn.pdf,2020-07-02 00:00:34.165525,1
000151,Excellent J 2019,20190911.0,C,,,17.0,,"Cantoni, Yang, Yuchtman, Zhang","Davide Cantoni, David Y Yang, Noam Yuchtman, Y Jane Zhang",2019.0,Protests as Strategic Games: Experimental Evidence from Hong Kong's Antiauthoritarian Movement ,Quarterly Journal of Economics,QJE,134(2),1021–1077,,,,,2020-02-18 00:00:00,2020-02-18 00:00:00,0,1.0,/volume1/web/DB/000151,"/volume1/web/DB/Cantoni, Yang, Yuchtman and Zhang (2019)_Protests as Strategic Games_QJE 134 (2) 1021-1077_en.pdf",/volume1/web/DB/Cantoni_Yang_Yuchtman_Zhang_QUE_inChinese_20200218_pcn.pdf,2020-07-02 00:00:34.165763,1
000152,Excellent J 2019,20190911.0,C,,,30.0,,"Carroll, Segal","Gabriel Carroll, Ilya Segal",2019.0,Robustly Optimal Auctions with Unknown Resale Opportunities ,Review of Economic Studies,REStud,86(4),1527–1555,,,,,2019-10-07 00:00:00,2019-10-07 00:00:00,0,1.0,/volume1/web/DB/000152,"/volume1/web/DB/Carroll, Segal (2019)_Robustly Optimal Auctions with Unknown Resale Opport_REStud 86(4) 1527-1555_en.pdf",/volume1/web/DB/Carroll_Segal2019_REStud_inChinese_20191007_pcn.pdf,2020-07-02 00:00:34.165971,1
000153,Excellent J 2019,20190911.0,A,,優先處理,15.0,,Che and Mierendorff,Yeon-Koo Che and Konrad Mierendorff,2019.0,Optimal Dynamic Allocation of Attention,American Economic Review,AER,109(8),2993-3029,,"D72, D83, D91, L82",0,"Che and Mierendorff (2019)_Optimal Dynamic Allocation of Attention_AER 109(8), 2993-3029",2019-10-09 00:00:00,2019-10-09 00:00:00,1,1.0,/volume1/web/DB/000153,"/volume1/web/DB/Che and Mierendorff (2019)_Optimal Dynamic Allocation of Attention_AER 109(8), 2993-3029_en.pdf",/volume1/web/DB/Che_Mierendorff2019_AER_inChinese_20191009_fcn.pdf,2020-07-02 00:00:34.073175,1
000154,Excellent J 2019,20190911.0,C,,,23.0,,Chen and Yang,Yuyu Chen and David Y. Yang,2019.0,The Impact of Media Censorship: 1984 or Brave New World?,American Economic Review,AER,109(6),2294-2332,,"C93, D72, D83, L82, L86, L88, P36",0,Chen and Yang (2019)_The Impact of Media Censorship 1984 or Brave New World_AER 109(6) 2294-2332,2019-09-24 00:00:00,2019-09-24 00:00:00,0,1.0,/volume1/web/DB/000154,/volume1/web/DB/Chen and Yang (2019)_The Impact of Media Censorship 1984 or Brave New World_AER 109(6) 2294-2332_en.pdf,/volume1/web/DB/Chen_Yang2019_AER_inChinese_20190924_pcn.pdf,2020-07-02 00:00:34.166181,1
000155,Excellent J 2019,20190911.0,C,,,15.0,,"Coey, Larsen, Sweeney","Dominic Coey, Bradley Larsen, Kane Sweeney",2019.0,The bidder exclusion effect,RAND Journal of Economics,RAND,50(1),93-120,,,,,2020-02-18 00:00:00,2020-02-18 00:00:00,0,1.0,/volume1/web/DB/000155,"/volume1/web/DB/Coey, Larsen and Sweeney (2019)_The Bidder Exclusion Effect_RAND 50(1), 93-120_en.pdf",/volume1/web/DB/Coey_Larsen_Sweeney2019_RAND_inChinese_20200218_pcn.pdf,2020-07-02 00:00:34.166426,1
000156,Excellent J 2019,20190911.0,C,,,89.0,,"Collard-Wexler, Gowrisankaran, andLee","Allan Collard-Wexler, Gautam Gowrisankaran, and Robin S. Lee",2019.0,“Nash-in-Nash” Bargaining: A Microfoundation for Applied Work,Journal of Political Economy,JPE,127(1),163-195,,,,,2019-09-16 00:00:00,2019-09-16 00:00:00,0,1.0,/volume1/web/DB/000156,"/volume1/web/DB/Collard-Wexler, Gowrisankaran and Lee (2019)_???Nash-in-Nash??? Bargaining A Microfoundation for Applied Work_JPE 127(1) 163-195_en.pdf",/volume1/web/DB/Collard-Wexler_Gowrisankaran_Lee2019_JPE_inChinese_20190916_pcn.pdf,2020-07-02 00:00:34.166678,1
000157,Excellent J 2019,20190911.0,C,,,6.0,,"Crawford, Shcherbakov and Shum","Gregory S. Crawford, Oleksandr Shcherbakov and Matthew Shum",2019.0,Quality Overprovision in Cable Television Markets,American Economic Review,AER,109(3),956-95,,"L13, L15, L82)",0,"Crawford, Shcherbakov and Shum (2019)_Quality Overprovision in Cable Television Markets_AER 109(3) 956-95",2019-10-07 00:00:00,2019-10-07 00:00:00,0,1.0,/volume1/web/DB/000157,"/volume1/web/DB/Crawford, Shcherbakov and Shum (2019)_Quality Overprovision in Cable Television Markets_AER 109(3) 956-95_en.pdf",/volume1/web/DB/Crawford_Shcherbakov_Shum2019_AER_inChinese_20191007_pcn.pdf,2020-07-02 00:00:34.166905,1
000158,Excellent J 2019,20190911.0,C,,,10.0,,"D’Haultfœuille, Durrmeyer, Février","Xavier D’Haultfœuille, Isis Durrmeyer, Philippe Février",2019.0,Automobile Prices in Market Equilibrium with Unobserved Price Discrimination ,Review of Economic Studies,REStud,86(5),1973–1998,,,,,2020-02-18 00:00:00,2020-02-18 00:00:00,0,1.0,/volume1/web/DB/000158,"/volume1/web/DB/D???Haultfoeuille, Durrmeyer, F??vrier (2019)_Automobile Prices in Market Equilibrium_REStud 86(5) 1973-1998_en.pdf",/volume1/web/DB/D???haultfoeuille_Durrmeyer_Fevrier2019_REStud_inChinese_20200218_pcn.pdf,2020-07-02 00:00:34.170952,1
000159,Excellent J 2019,20190911.0,A,,,149.0,,Davis and Dingel,Donald R. Davis and Jonathan I. Dingel,2019.0,A Spatial Knowledge Economy,American Economic Review,AER,109(1),153-70,,"J24, J31, O31,R12, R23",,Davis and Dingel (2019)_A Spatial Knowledge Economy_AER 109(1) 153-70,2019-12-05 00:00:00,2019-12-05 00:00:00,1,1.0,/volume1/web/DB/000159,/volume1/web/DB/Davis and Dingel (2019)_A Spatial Knowledge Economy_AER 109(1) 153-70_en.pdf,/volume1/web/DB/Davis_Dingel2019_AER_inChinese_20191205_fcn.pdf,2020-07-02 00:00:34.073549,1
000160,Excellent J 2019,20190911.0,C,,,38.0,,"Davis, Dingel, Monras and Morales","Donald R. Davis, Jonathan I. Dingel, Joan Monras, and Eduardo Morales",2019.0,How Segregated Is Urban Consumption?,Journal of Political Economy,JPE,127(4),1684-1738,,,,,2019-10-05 00:00:00,2019-10-05 00:00:00,0,1.0,/volume1/web/DB/000160,"/volume1/web/DB/Davis, Dingel, Monras and Morales_(2019)_How Segregated Is Urban Consumption_JPE 127(4) 1684-1738_en.pdf",/volume1/web/DB/Davis_Dingel_Monras_Morales2019_JPE_inChinese_20191005_pcn.pdf,2020-07-02 00:00:34.171458,1
000161,Excellent J 2019,20190911.0,C,,,24.0,,"Draca, Koutmeridis, Machin","Mirko Draca, Theodore Koutmeridis, Stephen Machin",2019.0,The Changing Returns to Crime: Do Criminals Respond to Prices? ,Review of Economic Studies,REStud,86(3),1228–1257,,,,,2020-02-18 00:00:00,2020-02-18 00:00:00,0,1.0,/volume1/web/DB/000161,"/volume1/web/DB/Draca, Koutmeridis and Machin_(2019)_The Changing Returns to Crime_REStud 86(3) 1228-1257_en.pdf",/volume1/web/DB/Draca_Koutmeridis_Machin2019_REStud_inChinese_20200218_pcn.pdf,2020-07-02 00:00:34.171229,1
000162,Excellent J 2019,20190911.0,C,,,9.0,,Dur and Ünver,Umut Mert Dur and M. Utku Ünver,2019.0,Two-Sided Matching via Balanced Exchange,Journal of Political Economy,JPE,127(3),1156–1177,,,,,2019-10-05 00:00:00,2019-10-05 00:00:00,0,1.0,/volume1/web/DB/000162,/volume1/web/DB/Dur and ??nver_(2019)_Two-Sided Matching via Balanced Exchange_JPE 127(3) 1156-1177_en.pdf,/volume1/web/DB/Dur_Unver2019_JPE_inChinese_20191005_pcn.pdf,2020-07-02 00:00:34.171703,1
000163,Excellent J 2019,20190911.0,C,,,64.0,,"Durante, Pinotti and Tesei","Ruben Durante, Paolo Pinotti and Andrea Tesei",2019.0,The Political Legacy of Entertainment TV,American Economic Review,AER,109(7),2497-2530,,"D72, L82, M31, Z13",0,"Durante, Pinotti and Tesei (2019)_The Political Legacy of Entertainment TV_AER 109(7) 2497-2530",2019-10-07 00:00:00,2019-10-07 00:00:00,0,1.0,/volume1/web/DB/000163,"/volume1/web/DB/Durante, Pinotti and Tesei (2019)_The Political Legacy of Entertainment TV_AER 109(7) 2497-2530_en.pdf",/volume1/web/DB/Durante_Pinotti2019_AER_inChinese_20191007_pcn.pdf,2020-07-02 00:00:34.162416,1
