流水號,文章來源或個人分類,加入日期,急迫程度,挑選文章的老師,NOTE,Citation,Citation Update,Author(s)-Last Name,Author(s) -Full Name,Year,Paper Name,Journal name,Journal Abbreviations,Vol.(No.),Page,Symposium,JEL code,keyword,PDF檔名,初稿完成日期,最近更新日期,全文,文章進度,資料夾link,原文link,中文link,check log,check,Unnamed: 29,已列印
000139,Excellent J 2019,20190911,A,賴孚權,,12.0,,"Agrawal, Gans and Goldfarb","Ajay Agrawal, Joshua S. Gans and Avi Goldfarb",2019.0,Artificial Intelligence: The Ambiguous Labor Market Impact of Automating Prediction,Journal of Economic Perspectives,JEPerspectives,33(2),31-50,Automation and employment,,,,2019-11-22 00:00:00,2019-11-22 00:00:00,1,1.0,/volume1/web/DB/000139,/volume1/web/DB/000139/000139_en.pdf,/volume1/web/DB/Agrawal_Gans_Goldfarb2019_JEP_inChinese_20191122_fcn.pdf,2020-10-03 00:00:04.384794,1,,
000140,Excellent J 2019,20190911,C,,,18.0,,"Allcott, Lockwood and Taubinsky","Hunt Allcott, Benjamin B. Lockwood and Dmitry Taubinsky",2019.0,Should We Tax Sugar-Sweetened Beverages? An Overview of Theory and Evidence,Journal of Economic Perspectives,JEPerspectives,33(3),202-27,Articles,,,,2019-10-14 00:00:00,2019-10-14 00:00:00,0,1.0,/volume1/web/DB/000140,/volume1/web/DB/000140/000140_en.pdf,/volume1/web/DB/Allcott_Lockwood_Taubinsky2019_JEP_inChinese_20191014_pcn.pdf,2020-10-03 00:00:04.528243,1,,
000141,Excellent J 2019,20190911,C,,,36.0,,"Allcott,?Lockwood,?Taubinsky","Hunt Allcott,?Benjamin B Lockwood,?Dmitry Taubinsky",2019.0,"Regressive Sin Taxes, with an Application to the Optimal Soda Tax?",Quarterly Journal of Economics,QJE,134(3),1557–1626,,,,,2020-02-17 00:00:00,2020-02-17 00:00:00,0,1.0,/volume1/web/DB/000141,/volume1/web/DB/000141/000141_en.pdf,/volume1/web/DB/Alloctt_Lockwood_Taubinsky2019_QJE_inChinese_20200217_pcn.pdf,2020-10-03 00:00:04.528475,1,,
000142,Excellent J 2019,20190911,C,,,49.0,,"Allen,?Clark, and?Houde","Jason Allen,?Robert Clark, and?Jean-Fran?ois Houde",2019.0,Search Frictions and Market Power in Negotiated-Price Markets,Journal of Political Economy,JPE,127(4),1550-1598,,,,,2020-02-17 00:00:00,2020-02-17 00:00:00,0,1.0,/volume1/web/DB/000142,/volume1/web/DB/000142/000142_en.pdf,/volume1/web/DB/Allen_Clark_Houde2019_JPE_inChinese_20200217_pcn.pdf,2020-10-03 00:00:04.528704,1,,
000143,Excellent J 2019,20190911,C,,AER百大-pcn,172.0,,"Alstads?ter, Johannesen and Zucman","Annette Alstads?ter, Niels Johannesen and Gabriel Zucman",2019.0,Tax Evasion and Inequality,American Economic Review,AER,109(6),2073-2103,,"D31, H24, H26, K34",0,Alstadsater_Johannesen and Zucman (2019)_Tax Evasion and Inequality_AER 109(6) 2073-2103,2019-09-20 00:00:00,2019-09-20 00:00:00,0,2.0,/volume1/web/DB/000143,/volume1/web/DB/000143/000143_en.pdf,/volume1/web/DB/Alstadsater_Johannesen_Zucman2019_AER_inChinese_20190920_pcnn.pdf,2020-10-03 00:00:04.528918,1,,
000144,Excellent J 2019,20190911,A,,黃景沂老師可能有興趣?,17.0,,"Anderson, Paddrik and Wang","Haelim Anderson, Mark Paddrik and Jessie Jiaxu Wang",2019.0,Bank Networks and Systemic Risk: Evidence from the National Banking Acts,American Economic Review,AER,109(9),3125-61,,0,0,"Liu, Mierendorff, Shi and Zhong (2019)_Auctions with Limited Commitment_AER 109(3) 876-910",2019-09-18 00:00:00,2020-09-11 00:00:00,0,2.0,/volume1/web/DB/000144,/volume1/web/DB/000144/000144_en.pdf,/volume1/web/DB/Anderson_Paddrik_Wang2019_AER_inChinese_20200911_pcnn.pdf,2020-10-03 00:00:04.385075,1,,印
000145,Excellent J 2019,20190911,C,,,63.0,,Andrews and Kasy,Isaiah Andrews and Maximilian Kasy,2019.0,Identification of and Correction for Publication Bias,American Economic Review,AER,109(8),2766-94,,"C13, C90, I23, J23, J38, L82",0,Andrews and Kasy (2019)_Identification of and Correction for Publication Bias_AER 109(8) 2766-94,2019-09-23 00:00:00,2019-09-23 00:00:00,0,1.0,/volume1/web/DB/000145,/volume1/web/DB/000145/000145_en.pdf,/volume1/web/DB/Andrews_Kasy2019_AER_inChinese_20190923_pcn.pdf,2020-10-03 00:00:04.529122,1,,
000146,Excellent J 2019,20190911,C,,,59.0,,"Belot,?Kircher,?Muller","Mich?le Belot,?Philipp Kircher,?Paul Muller",2019.0,Providing Advice to Jobseekers at Low Cost: An Experimental Study on Online Advice?,Review of Economic Studies,REStud,86(4),1411–1447,,,,,2019-09-18 00:00:00,2019-09-18 00:00:00,0,1.0,/volume1/web/DB/000146,/volume1/web/DB/000146/000146_en.pdf,/volume1/web/DB/Belot_Kircher_Muller2019_RESTUD_inChinese_20190918_pcn.pdf,2020-10-03 00:00:04.529561,1,,
000147,Excellent J 2019,20190911,C,,,156.0,,"Bernard,?Moxnes, and?Saito","Andrew B. Bernard,?Andreas Moxnes, and?Yukiko U. Saito",2019.0,"Production Networks, Geography, and Firm Performance",Journal of Political Economy,JPE,127(2),639-688,,,,,2019-09-27 00:00:00,2019-09-27 00:00:00,0,1.0,/volume1/web/DB/000147,/volume1/web/DB/000147/000147_en.pdf,/volume1/web/DB/Bernard_Moxnes_Saito2019_JPE_inChinese_20190927_pcn.pdf,2020-10-03 00:00:04.529340,1,,
000148,Excellent J 2019,20190911,C,,,34.0,,Bj?rkegren,Daniel Bj?rkegren,2019.0,The Adoption of Network Goods: Evidence from the Spread of Mobile Phones in Rwanda?,Review of Economic Studies,REStud,86(3),1033–1060,,,,,2020-02-18 00:00:00,2020-02-18 00:00:00,0,1.0,/volume1/web/DB/000148,/volume1/web/DB/000148/000148_en.pdf,/volume1/web/DB/Bjorkegren2019_RESTud_inChinese_20200218_pcn.pdf,2020-10-03 00:00:04.529790,1,,
000149,Excellent J 2019,20190911,C,,,49.0,,"Breza, Chandrasekhar","Emily Breza, Arun G. Chandrasekhar",2019.0,"Social Networks, Reputation, and Commitment: Evidence From a Savings Monitors Experiment",Econometrica,Econometrica,87(1),175-216,,0,"Commitment, reputation, savings, social networks","Breza, Chandrasekhar_2019_Social Networks, Reputation, and Commitment Evidence From a Savings Monitors Experiment_Econometrica 87(1)",2020-02-18 00:00:00,2020-02-18 00:00:00,0,1.0,/volume1/web/DB/000149,/volume1/web/DB/000149/000149_en.pdf,/volume1/web/DB/Breza_Chandrasekhar2019_Econometrica_inChinese_20200218_pcn.pdf,2020-10-03 00:00:04.530013,1,,
000150,Excellent J 2019,20190911,C,,,57.0,,Byrne and Roos,David P. Byrne and Nicolas de Roos,2019.0,Learning to Coordinate: A Study in Retail Gasoline,American Economic Review,AER,109(2),591-619,,"G34, L12, L13, L71, L81, Q35",0,Byrne and Roos (2019)_Learning to Coordinate A Study in Retail Gasoline_AER 109(2) 591-619,2019-09-27 00:00:00,2019-09-27 00:00:00,0,1.0,/volume1/web/DB/000150,/volume1/web/DB/000150/000150_en.pdf,/volume1/web/DB/Byrne_Roos2019_AER_inChinese_20190927_pcn.pdf,2020-10-03 00:00:04.530227,1,,
000151,Excellent J 2019,20190911,C,,,17.0,,"Cantoni,?Yang,?Yuchtman,?Zhang","Davide Cantoni,?David Y Yang,?Noam Yuchtman,?Y Jane Zhang",2019.0,Protests as Strategic Games: Experimental Evidence from Hong Kong's Antiauthoritarian Movement?,Quarterly Journal of Economics,QJE,134(2),1021–1077,,,,,2020-02-18 00:00:00,2020-02-18 00:00:00,0,1.0,/volume1/web/DB/000151,/volume1/web/DB/000151/000151_en.pdf,/volume1/web/DB/Cantoni_Yang_Yuchtman_Zhang_QUE_inChinese_20200218_pcn.pdf,2020-10-03 00:00:04.530452,1,,
000152,Excellent J 2019,20190911,C,,,30.0,,"Carroll,?Segal","Gabriel Carroll,?Ilya Segal",2019.0,Robustly Optimal Auctions with Unknown Resale Opportunities?,Review of Economic Studies,REStud,86(4),1527–1555,,,,,2019-10-07 00:00:00,2019-10-07 00:00:00,0,1.0,/volume1/web/DB/000152,/volume1/web/DB/000152/000152_en.pdf,/volume1/web/DB/Carroll_Segal2019_REStud_inChinese_20191007_pcn.pdf,2020-10-03 00:00:04.530652,1,,
000153,Excellent J 2019,20190911,A,,優先處理,15.0,,Che and Mierendorff,Yeon-Koo Che and Konrad Mierendorff,2019.0,Optimal Dynamic Allocation of Attention,American Economic Review,AER,109(8),2993-3029,,"D72, D83, D91, L82",0,"Che and Mierendorff (2019)_Optimal Dynamic Allocation of Attention_AER 109(8), 2993-3029",2019-10-09 00:00:00,2019-10-09 00:00:00,1,1.0,/volume1/web/DB/000153,/volume1/web/DB/000153/000153_en.pdf,/volume1/web/DB/Che_Mierendorff2019_AER_inChinese_20191009_fcn.pdf,2020-10-03 00:00:04.385346,1,,印
000154,Excellent J 2019,20190911,C,,,23.0,,Chen and Yang,Yuyu Chen and David Y. Yang,2019.0,The Impact of Media Censorship: 1984 or Brave New World?,American Economic Review,AER,109(6),2294-2332,,"C93, D72, D83, L82, L86, L88, P36",0,Chen and Yang (2019)_The Impact of Media Censorship 1984 or Brave New World_AER 109(6) 2294-2332,2019-09-24 00:00:00,2019-09-24 00:00:00,0,1.0,/volume1/web/DB/000154,/volume1/web/DB/000154/000154_en.pdf,/volume1/web/DB/Chen_Yang2019_AER_inChinese_20190924_pcn.pdf,2020-10-03 00:00:04.530859,1,,
000155,Excellent J 2019,20190911,C,,,15.0,,"Coey, Larsen, Sweeney","Dominic Coey, Bradley Larsen, Kane Sweeney",2019.0,The bidder exclusion effect,RAND Journal of Economics,RAND,50(1),93-120,,,,,2020-02-18 00:00:00,2020-02-18 00:00:00,0,1.0,/volume1/web/DB/000155,/volume1/web/DB/000155/000155_en.pdf,/volume1/web/DB/Coey_Larsen_Sweeney2019_RAND_inChinese_20200218_pcn.pdf,2020-10-03 00:00:04.531078,1,,
000156,Excellent J 2019,20190911,C,,,89.0,,"Collard-Wexler,?Gowrisankaran, andLee","Allan Collard-Wexler,?Gautam Gowrisankaran, and?Robin S. Lee",2019.0,“Nash-in-Nash” Bargaining: A Microfoundation for Applied Work,Journal of Political Economy,JPE,127(1),163-195,,,,,2019-09-16 00:00:00,2019-09-16 00:00:00,0,1.0,/volume1/web/DB/000156,/volume1/web/DB/000156/000156_en.pdf,/volume1/web/DB/Collard-Wexler_Gowrisankaran_Lee2019_JPE_inChinese_20190916_pcn.pdf,2020-10-03 00:00:04.531298,1,,
000157,Excellent J 2019,20190911,C,,,6.0,,"Crawford, Shcherbakov and Shum","Gregory S. Crawford, Oleksandr Shcherbakov and Matthew Shum",2019.0,Quality Overprovision in Cable Television Markets,American Economic Review,AER,109(3),956-95,,"L13, L15, L82)",0,"Crawford, Shcherbakov and Shum (2019)_Quality Overprovision in Cable Television Markets_AER 109(3) 956-95",2019-10-07 00:00:00,2019-10-07 00:00:00,0,1.0,/volume1/web/DB/000157,/volume1/web/DB/000157/000157_en.pdf,/volume1/web/DB/Crawford_Shcherbakov_Shum2019_AER_inChinese_20191007_pcn.pdf,2020-10-03 00:00:04.531511,1,,
000158,Excellent J 2019,20190911,C,,,10.0,,"D’Haultf?uille,?Durrmeyer,?F?vrier","Xavier D’Haultf?uille,?Isis Durrmeyer,?Philippe F?vrier",2019.0,Automobile Prices in Market Equilibrium with Unobserved Price Discrimination?,Review of Economic Studies,REStud,86(5),1973–1998,,,,,2020-02-18 00:00:00,2020-02-18 00:00:00,0,1.0,/volume1/web/DB/000158,/volume1/web/DB/000158/000158_en.pdf,/volume1/web/DB/Dhaultfoeuille_Durrmeyer_Fevrier2019_REStud_inChinese_20200218_pcn.pdf,2020-10-03 00:00:04.535137,1,,
000159,Excellent J 2019,20190911,A,,,149.0,,Davis and Dingel,Donald R. Davis and Jonathan I. Dingel,2019.0,A Spatial Knowledge Economy,American Economic Review,AER,109(1),153-70,,"J24, J31, O31,R12, R23",,Davis and Dingel (2019)_A Spatial Knowledge Economy_AER 109(1) 153-70,2019-12-05 00:00:00,2019-12-05 00:00:00,1,1.0,/volume1/web/DB/000159,/volume1/web/DB/000159/000159_en.pdf,/volume1/web/DB/Davis_Dingel2019_AER_inChinese_20191205_fcn.pdf,2020-10-03 00:00:04.385603,1,,
000160,Excellent J 2019,20190911,C,,,38.0,,"Davis,?Dingel,?Monras and?Morales","Donald R. Davis,?Jonathan I. Dingel,?Joan Monras, and?Eduardo Morales",2019.0,How Segregated Is Urban Consumption?,Journal of Political Economy,JPE,127(4),1684-1738,,,,,2019-10-05 00:00:00,2019-10-05 00:00:00,0,1.0,/volume1/web/DB/000160,/volume1/web/DB/000160/000160_en.pdf,/volume1/web/DB/Davis_Dingel_Monras_Morales2019_JPE_inChinese_20191005_pcn.pdf,2020-10-03 00:00:04.535595,1,,
000161,Excellent J 2019,20190911,C,,,24.0,,"Draca,?Koutmeridis,?Machin","Mirko Draca,?Theodore Koutmeridis,?Stephen Machin",2019.0,The Changing Returns to Crime: Do Criminals Respond to Prices??,Review of Economic Studies,REStud,86(3),1228–1257,,,,,2020-02-18 00:00:00,2020-02-18 00:00:00,0,1.0,/volume1/web/DB/000161,/volume1/web/DB/000161/000161_en.pdf,/volume1/web/DB/Draca_Koutmeridis_Machin2019_REStud_inChinese_20200218_pcn.pdf,2020-10-03 00:00:04.535383,1,,
000162,Excellent J 2019,20190911,C,,,9.0,,Dur?and??nver,Umut Mert Dur?and?M. Utku ?nver,2019.0,Two-Sided Matching via Balanced Exchange,Journal of Political Economy,JPE,127(3),1156–1177,,,,,2019-10-05 00:00:00,2019-10-05 00:00:00,0,1.0,/volume1/web/DB/000162,/volume1/web/DB/000162/000162_en.pdf,/volume1/web/DB/Dur_Unver2019_JPE_inChinese_20191005_pcn.pdf,2020-10-03 00:00:04.535821,1,,
000163,Excellent J 2019,20190911,C,,,64.0,,"Durante, Pinotti and Tesei","Ruben Durante, Paolo Pinotti and Andrea Tesei",2019.0,The Political Legacy of Entertainment TV,American Economic Review,AER,109(7),2497-2530,,"D72, L82, M31, Z13",0,"Durante, Pinotti and Tesei (2019)_The Political Legacy of Entertainment TV_AER 109(7) 2497-2530",2019-10-07 00:00:00,2019-10-07 00:00:00,0,1.0,/volume1/web/DB/000163,/volume1/web/DB/000163/000163_en.pdf,/volume1/web/DB/Durante_Pinotti2019_AER_inChinese_20191007_pcn.pdf,2020-10-03 00:00:04.527326,1,,
000164,Excellent J 2019,20190911,C,,,29.0,,"Egger, Nigai and Strecke","Peter H. Egger, Sergey Nigai and Nora M. Strecker",2019.0,The Taxing Deed of Globalization,American Economic Review,AER,109(2),353-90,,"D31, F16, F61, H22, H24",0,"Egger, Nigai and Strecker (2019)_The Taxing Deed of Globalization_AER 109(2) 353-90",2019-10-07 00:00:00,2019-10-07 00:00:00,0,1.0,/volume1/web/DB/000164,/volume1/web/DB/000164/000164_en.pdf,/volume1/web/DB/Egger_Nigai_Strecker2019_AER_inChinese_20191007_pcn.pdf,2020-10-03 00:00:04.527530,1,,
000165,Excellent J 2019,20190911,C,,,86.0,,Elliott?and?Golub,Matthew Elliott?and?Benjamin Golub,2019.0,A Network Approach to Public Goods,Journal of Political Economy,JPE,127(2),730-776,,,,,2019-10-07 00:00:00,2019-10-07 00:00:00,0,1.0,/volume1/web/DB/000165,/volume1/web/DB/000165/000165_en.pdf,/volume1/web/DB/Elliott_Golub2019_JPE_inChinese_20191007_pcn.pdf,2020-10-03 00:00:04.527730,1,,
000166,Excellent J 2019,20190911,C,,,51.0,,"Gavazza,? Nardotto,? Valletti","Alessandro Gavazza,?Mattia Nardotto,?Tommaso Valletti",2019.0,Internet and Politics: Evidence from U.K. Local Elections and Local Government Policies?,Review of Economic Studies,REStud,86(5),2092–2135,,,,,2019-10-02 00:00:00,2019-10-02 00:00:00,0,1.0,/volume1/web/DB/000166,/volume1/web/DB/000166/000166_en.pdf,/volume1/web/DB/Gavazza_Nardotto_Valletti2019_RESTUD_inChinese_20191002_pcn.pdf,2020-10-03 00:00:04.531750,1,,
000167,Excellent J 2019,20190911,C,,,59.0,,Hjort and Poulsen,Jonas Hjort and Jonas Poulsen,2019.0,The Arrival of Fast Internet and Employment in Africa,American Economic Review,AER,109(3),1032-79,,"F14, J23, J24, J63, L86, O15, O33",0,Hjort and Poulsen (2019)_The Arrival of Fast Internet and Employment in Africa_AER 109(3) 1032-79,2019-10-14 00:00:00,2019-10-14 00:00:00,0,1.0,/volume1/web/DB/000167,/volume1/web/DB/000167/000167_en.pdf,/volume1/web/DB/Hjort_Poulsen2019_AER_inChinese_20191014_pcn.pdf,2020-10-03 00:00:04.531949,1,,
000168,Excellent J 2019,20190911,A,,李宗穎老師可能有興趣,43.0,,Ho and Lee,Kate Ho and Robin S. Lee,2019.0,Equilibrium Provider Networks: Bargaining and Exclusion in Health Care Markets,American Economic Review,AER,109(2),473-522,,"C78, D85, G22, H75, I11, I13, I18",0,Ho and Lee (2019)_Equilibrium Provider Networks Bargaining and Exclusion in Health Care Markets_AER 109(2) 473-522,2019-09-18 00:00:00,2019-09-18 00:00:00,0,2.0,/volume1/web/DB/000168,/volume1/web/DB/000168/000168_en.pdf,/volume1/web/DB/Ho_Lee2019_AER_inChinese_20190918_pcnn.pdf,2020-10-03 00:00:04.385885,1,,印
000169,Excellent J 2019,20190911,C,,,59.0,,Jaravel,Xavier Jaravel,2019.0,The Unequal Gains from Product Innovations: Evidence from the U.S. Retail Sector?,Quarterly Journal of Economics,QJE,134(2),715–783,,,,,2020-02-19 00:00:00,2020-02-19 00:00:00,0,1.0,/volume1/web/DB/000169,/volume1/web/DB/000169/000169_en.pdf,/volume1/web/DB/Jaravel2019_QJE_inChinese_20200219_pcn.pdf,2020-10-03 00:00:04.532165,1,,
000170,Excellent J 2019,20190911,C,,,12.0,,"Jolivet,?Turon","Gr?gory Jolivet,?H?l?ne Turon",2019.0,Consumer Search Costs and Preferences on the Internet?,Review of Economic Studies,REStud,86(3),1258–1300,,,,,2019-10-02 00:00:00,2019-10-02 00:00:00,0,1.0,/volume1/web/DB/000170,/volume1/web/DB/000170/000170_en.pdf,/volume1/web/DB/Jolivet_Turon2019_RESTUD_inChinese_20191002_pcn.pdf,2020-10-03 00:00:04.532390,1,,
000171,Excellent J 2019,20190911,C,,,83.0,,"Kline,?Petkova,?Williams,?Zidar","Patrick Kline,?Neviana Petkova,?Heidi Williams,?Owen Zidar",2019.0,Who Profits from Patents? Rent-Sharing at Innovative Firms?,Quarterly Journal of Economics,QJE,134(3),1343–1404,,,,,2019-10-02 00:00:00,2019-10-02 00:00:00,0,1.0,/volume1/web/DB/000171,/volume1/web/DB/000171/000171_en.pdf,/volume1/web/DB/Kline_Petkova_Williams_Zidar2019_QJE_inChinese_20191002_pcn.pdf,2020-10-03 00:00:04.532604,1,,
000172,Excellent J 2019,20190911,C,,,28.0,,"Liu, Mierendorff, Shi and Zhong","Qingmin Liu, Konrad Mierendorff, Xianwen Shi and Weijie Zhong",2019.0,Auctions with Limited Commitment,American Economic Review,AER,109(3),876-910,,"D44, D82",,"Liu, Mierendorff, Shi and Zhong (2019)_Auctions with Limited Commitment_AER 109(3) 876-910",2019-10-02 00:00:00,2019-10-02 00:00:00,0,1.0,/volume1/web/DB/000172,/volume1/web/DB/000172/000172_en.pdf,/volume1/web/DB/Liu_Mierendorff_Shi_Zhong2019_AER_inChinese_20191002_pcn.pdf,2020-10-03 00:00:04.533224,1,,
000173,Excellent J 2019,20190911,C,,,22.0,,Lundberg and Stearns,Shelly Lundberg and Jenna Stearns,2019.0,Women in Economics: Stalled Progress,Journal of Economic Perspectives,JEPerspectives,33(1),3月22日,Women in economics,,,,2019-10-02 00:00:00,2019-10-02 00:00:00,0,1.0,/volume1/web/DB/000173,/volume1/web/DB/000173/000173_en.pdf,/volume1/web/DB/Lundberg_Stearns2019_JEP_inChinese_20191002_pcn.pdf,2020-10-03 00:00:04.532802,1,,
000174,Excellent J 2019,20190911,C,,,37.0,,Mitchener?and?Richardson,Kris James Mitchener?and?Gary Richardson,2019.0,Network Contagion and Interbank Amplification during the Great Depression,Journal of Political Economy,JPE,127(2),465-507,,,,,2019-10-02 00:00:00,2019-10-02 00:00:00,0,1.0,/volume1/web/DB/000174,/volume1/web/DB/000174/000174_en.pdf,/volume1/web/DB/Mitchener_Richardson2019_JPE_inChinese_20191002_pcn.pdf,2020-10-03 00:00:04.533006,1,,
000175,Excellent J 2019,20190911,C,,,7.0,,Nava and Schiraldi,Francesco Nava and Pasquale Schiraldi,2019.0,Differentiated Durable Goods Monopoly: A Robust Coase Conjecture,American Economic Review,AER,109(5),1930-68,,"C78, D42, L12",0,Nava and Schiraldi (2019)_Differentiated Durable Goods Monopoly A Robust Coase Conjecture_AER 109(5) 1930-68,2019-10-01 00:00:00,2019-10-01 00:00:00,0,1.0,/volume1/web/DB/000175,/volume1/web/DB/000175/000175_en.pdf,/volume1/web/DB/Nava_Schiraldi2019_AER_inChinese_20191001_pcn.pdf,2020-10-03 00:00:04.533435,1,,
000176,Excellent J 2019,20190911,C,,,64.0,,Nordhaus,William Nordhaus,2019.0,Can We Control Carbon Dioxide? (From 1975),American Economic Review,AER,109(6),2015-35,,0,0,Nordhaus (2019)_Can We Control Carbon Dioxide (From 1975)_AER 109(6) 2015-35,2019-10-14 00:00:00,2019-10-14 00:00:00,0,1.0,/volume1/web/DB/000176,/volume1/web/DB/000176/000176_en.pdf,/volume1/web/DB/Nordhaus2019_AER_inChinese_20191014_pcn.pdf,2020-10-03 00:00:04.533649,1,,
000177,Excellent J 2019,20190911,C,,,22.0,,Nordhaus,William Nordhaus,2019.0,Climate Change: The Ultimate Challenge for Economics,American Economic Review,AER,109(6),1991-2014,,0,0,Nordhaus (2019)_Climate Change The Ultimate Challenge for Economics_AER 109(6) 1991-2014,2019-10-15 00:00:00,2019-10-15 00:00:00,0,1.0,/volume1/web/DB/000177,/volume1/web/DB/000177/000177_en.pdf,/volume1/web/DB/Nordhaus2019a_AER_inChinese_20191015_pcn.pdf,2020-10-03 00:00:04.533884,1,,
000178,Excellent J 2019,20190911,C,,,,,Pakes?and?Sobel,Ariel?Pakes?and?Joel?Sobel,2019.0,Parag Pathak: Winner of the 2018 Clark Medal,Journal of Economic Perspectives,JEPerspectives,33(1),231-46,Articles,,,,2019-10-01 00:00:00,2019-10-01 00:00:00,0,1.0,/volume1/web/DB/000178,/volume1/web/DB/000178/000178_en.pdf,/volume1/web/DB/Pakes_Sobel2019_JEP_inChinese_20191001_pcn.pdf,2020-10-03 00:00:04.534090,1,,
000179,Excellent J 2019,20190911,C,,,1.0,,Polanski,Arnold Polanski,2019.0,"Communication networks, externalities, and the price of information",RAND Journal of Economics,RAND,50(2),481-502,,,,,2019-10-01 00:00:00,2019-10-01 00:00:00,0,1.0,/volume1/web/DB/000179,/volume1/web/DB/000179/000179_en.pdf,/volume1/web/DB/Polanski2019_RAND_inChinese_20191001_pcn.pdf,2020-10-03 00:00:04.527116,1,,
000180,Excellent J 2019,20190911,C,,,3.0,,"Reisinger, Tarantino","Reisinger, Tarantino",2019.0,"Patent pools, vertical integration, and downstream competition",RAND Journal of Economics,RAND,50(1),168-200,,,,,2019-09-23 00:00:00,2019-09-23 00:00:00,0,1.0,/volume1/web/DB/000180,/volume1/web/DB/000180/000180_en.pdf,/volume1/web/DB/Reisinger_Tarantino2019_RAND_inChinese_20190923_pcn.pdf,2020-10-03 00:00:04.534310,1,,
000181,Excellent J 2019,20190911,C,,,4.0,,Roth?and?Wilson,Alvin E.?Roth?and?Robert B.?Wilson,2019.0,How Market Design Emerged from Game Theory: A Mutual Interview,Journal of Economic Perspectives,JEPerspectives,33(3),118-43,Articles,,,,2019-09-25 00:00:00,2019-09-25 00:00:00,0,1.0,/volume1/web/DB/000181,/volume1/web/DB/000181/000181_en.pdf,/volume1/web/DB/Roth_Wilson2019_JEP_inChinese_20190925_pcn.pdf,2020-10-03 00:00:04.534512,1,,
000182,Excellent J 2019,20190911,C,,,89.0,,Schilbach,Frank Schilbach,2019.0,Alcohol and Self-Control: A Field Experiment in India,American Economic Review,AER,109(4),1290-1322,,"C93, D14, I12, J22, J24, J31, O12",,Schilbach (2019)_Alcohol and Self-Control A Field Experiment in India_AER 109(4) 1290-1322,2019-09-25 00:00:00,2019-09-25 00:00:00,0,1.0,/volume1/web/DB/000182,/volume1/web/DB/000182/000182_en.pdf,/volume1/web/DB/Schilbach2019_AER_inChinese_20190925_pcn.pdf,2020-10-03 00:00:04.534719,1,,
000183,Excellent J 2019,20190911,C,,,,,Taylor,Timothy Taylor,2019.0,Some?Journal of Economic Perspectives?Articles Recommended for Classroom Use,Journal of Economic Perspectives,JEPerspectives,33(3),243-48,Features,,,,2019-09-24 00:00:00,2019-09-24 00:00:00,0,1.0,/volume1/web/DB/000183,/volume1/web/DB/000183/000183_en.pdf,/volume1/web/DB/Taylor2019_JEP_inChinese_20190924_pcn.pdf,2020-10-03 00:00:04.534918,1,,
000184,Convenience Store Industry,20190920,B,游雅婷,,300.0,,Nishida and Yang,"Mitsukuni Nishida, Nathan Yang",2019.0,Franchising as a Strategic Lever in Dynamic Retail Competition,Working Paper,WorkingPaper,,,,,,Nishida and Yang (2019)_Franchising as a Strategic Lever in Dynamic Retail Competition_Working Paper,2019-10-21 00:00:00,2019-10-21 00:00:00,0,1.0,/volume1/web/DB/000184,/volume1/web/DB/000184/000184_en.pdf,/volume1/web/DB/Nishida_Yang2019_WorkingPaper_inChinese_20191021_pcn.pdf,2020-10-03 00:00:04.470890,1,,
000185,Convenience Store Industry,20190920,B,游雅婷,,3.0,,Nishida and Yang,"Mitsukuni Nishida, Nathan Yang",2018.0,Franchising and Preemption in Retail Expansion: Evidence from the Convenience-Store Industry,Working Paper,WorkingPaper,,,,,,Nishida and Yang (2018)_Franchising and Preemption in Retail Expansion_Working Paper,2019-10-21 00:00:00,2019-10-21 00:00:00,0,1.0,/volume1/web/DB/000185,/volume1/web/DB/000185/000185_en.pdf,/volume1/web/DB/Nishida_Yang2018_WorkingPaper_inChinese_20191021_pcn.pdf,2020-10-03 00:00:04.471487,1,,
000186,AER2020,20200731,A,賴孚權,,,,"S?nmez, ?nver and Yenmez","Tayfun S?nmez, M. Utku ?nver and M. Bumin Yenmez",2020.0,Incentivized Kidney Exchange,American Economic Review,AER,110(7),2198-2224,,,,,,,0,0.0,/volume1/web/DB/000186,/volume1/web/DB/000186/000186_en.pdf,,2020-10-03 00:00:04.457302,1,,
000187,Convenience Store Industry,20190920,B,游雅婷,,,,Nishida,Mitsukuni Nishida,2018.0,"A Structural Analysis of Entry Order, Performance, and Geography: The Case of the Convenience-Store Industry in Japan",Working Paper,WorkingPaper,,,,,,"Nishida (2018)_A Structural Analysis of Entry Order, Performance, and Geography_Working Paper, 1-47",2019-10-18 00:00:00,2019-10-18 00:00:00,0,1.0,/volume1/web/DB/000187,/volume1/web/DB/000187/000187_en.pdf,/volume1/web/DB/Nishida2018_A_Structural_Analysis_of_Entry_Order_Performance_and_Geography_inChinese_20191018_pcn.pdf,2020-10-03 00:00:04.471291,1,,
000188,Convenience Store Industry,20190920,B,游雅婷,,9.0,,Nishida,Mitsukuni Nishida,2017.0,First-Mover Advantage Through Distribution: A Decomposition Approach,Marketing Science,MarketingSci,36(4),590-609,,,,"Nishida (2017)_First-Mover Advantage Through Distribution_Marking Science 36(4), 590-609",2019-10-15 00:00:00,2019-10-15 00:00:00,0,1.0,/volume1/web/DB/000188,/volume1/web/DB/000188/000188_en.pdf,/volume1/web/DB/Nishida2017_MarketingScience_inChinese_20191015_pcn.pdf,2020-10-03 00:00:04.471086,1,,
