流水號,文章來源或個人分類,加入日期,急迫程度,挑選文章的老師,NOTE,Author(s)-Last Name,Author(s) -Full Name,Year,Paper Name,Journal name,Journal Abbreviations,Vol.(No.),Page,Symposium,JEL code,keyword,PDF檔名,初稿完成日期,最近更新日期,全文,文章進度,資料夾link,原文link,中文link,check log,check
000066,FC before,20190701,,賴孚權,,Osborne and Pitchik,Martin J. Osborne and Carolyn Pitchik,1987,Equilibrium in Hotelling's Model of Spatial Competition,Econometrica,Econometrica,55(4),911-922,,,"Spatial competition, product differentiation, Hotelling's location model","Osborne and Pitchik (1987)_Equilibrium in Hotelling's Model of Spatial Competition_Econometrica 55(4), 911-922",,,0,3.0,,,,,0
000067,FC before,20190701,,賴孚權,,Pal,Debashis Pal,1998,Endogenous timing in a mixed oligopoly,Economics Letters,EL,61(2),181–185,,"D00, L00","Mixed Oligopoly, Endogenous Timing, Stackelberg","Pal (1998)_Endogenous Timing in a Mixed Oligopoly_Economics Letters 61(2), 181-185",,,0,3.0,,,,,0
000068,FC before,20190701,,賴孚權,,Perego and Yuksel,Jacopo Perego and Sevgi Yuksel,2018,Media Competition and Social Disagreement,Working Paper,WorkingPaper,,,,"D72, L15, L82","Information, Media, Competition, Disagreement, Spatial models",Perego and  Yuksel (2018)_Media Competition and Social Disagreement,,,0,3.0,,,,,0
000069,FC before,20190701,,賴孚權,,Qiu,Larry D. Qiu,1997,On the Dynamic Efficiency of Bertrand and Cournot Equilibria,Journal of Economic Theory,JET,75(1),213-229,,L13,,"Qiu (1997)_On the Dynamic Efficiency of Bertrand and Cournot Equilibria_Journal of Economic Theory 75(1), 213-229",,,0,3.0,,,,,0
000070,FC before,20190701,,賴孚權,,Rochet and Tirole,Jean-Charles Rochet and Jean Tirole,2003,Platform Competition in Two-Sided Markets,Journal of the European Economic Association,JEurEAssoc,1(4),990–1029,,"L5, L82, L86, L96",,"Rochet and Tirole (2003)_Platform Competition in Two-Sided Markets_European Economic Association 1(4), 990-1029",,,0,3.0,,,,,0
000071,FC before,20190701,,賴孚權,,Rochet and Tirole,Jean Charles Rochet and Jean Tirole,2008,Tying in two-sided markets and the honor all cards rule,International Journal of Industrial Organization,IJIO,26(6),1333-1347,,"L5, L82, L86, L96","Tie-ins, Two-sided markets, Payment cards, Price rebalancing","Rochet and Tirole (2008)_Tying in Two-Sided Markets and the Honor all Cards Rule_IJIO 26(6), 1333-1347",,,0,3.0,,,,,0
000072,FC before,20190701,,賴孚權,,Roth and Ockenfels,Alvin E. Roth and Axel Ockenfels,2002,Last-Minute Bidding and the Rules for Ending Second-Price Auctions: Evidence from eBayand Amazon Auctions on the Internet,American Economic Review,AER,92(4),1093-1103,,,,"Roth and Ockenfels (2002)_Last-Minute Bidding and the Rules for Ending Second-Price Auctions_AER 92(4), 1093-1103",,,0,3.0,,,,,0
000073,FC before,20190701,,賴孚權,,Rysman,Marc Rysman,2009,The Economics of Two-Sided Markets,Journal of Economic Perspectives,JEPerspectives,23(3),125–143,,,,"Rysman (2009)_The Economics of Two-Sided Markets_Journal of Economic Perspectives 23(3), 125-143",,,0,3.0,,,,,0
000074,FC before,20190701,,賴孚權,,Salop,Steven C. Salop,1979,Monopolistic Competition with Outside Goods,Bell Journal of Economics,BellJE,10(1),141-156,,,,"Salop (1979)_Monopolistic Competition with Outside Goods_Bell Journal of Economics 10(1), 141-156",,,0,3.0,,,,,0
000075,FC before,20190701,,賴孚權,,Shimizu,Daisuke Shimizu,2002,Product differentiation in spatial Cournot markets,Economics Letters,EL,76(3),317–322,,"D43, L13","Spatial competition, Cournot competition, Product differentiation, Agglomeration","Shimizu (2002)_Product Differentiation in Spatial Cournot Markets_Economics Letters 76(3), 317-322",,,0,3.0,,,,,0
000076,FC before,20190701,,賴孚權,,Shino and Kawasaki,Junnosuke Shino and Ryo Kawasaki,2012,Farsighted stable sets in Hotelling's location games,Mathematical Social Sciences,MathSocSci,63(1),23–30,,,,"Shino and Kawasaki (2012)_Farsighted Stable Sets in Hotelling's Location Games_Mathematical Social Sciences 63(1), 23-30",,,0,3.0,,,,,0
000077,FC before,20190701,,賴孚權,,Vogel,Jonathan Vogel,2008,Spatial Competition with Heterogeneous Firms,Journal of Political Economy,JPE,116(3),423-466,,,,"Jonathan Vogel (2008)_Spatial Competition with Heterogeneous Firms_Journal of Political Economy 116(3), 423-466",,,0,3.0,,,,,0
000078,FC before,20190701,,賴孚權,,Wang,Ruqu Wang,2011,Listing Prices as Signals of Quality in Markets with Negotiation,Journal of Industrial Economics,JIE,59(2),321-341,,,,Wang (2011)_Listing Prices as Signals of Quality in Markets with Negotiation_JIE 59(2),,,0,3.0,,,,,0
000079,FC before,20190701,,賴孚權,,Wiseman,Thomas Wiseman,2017,When Does Predation Dominate Collusion？,Econometrica,Econometrica,85(2),555-584,,,,"Wiseman (2017)_When Does Predation Dominate Collusion？_Econometrica 85(2), 555-584",,,0,3.0,,,,,0
000080,FC before,20190701,,賴孚權,,Wu,Tim Wu,2003,"Network Neutrality, Broadband Discrimination",Journal on Telecommunications & High Technology Law,JTeleHighTechLaw,2,141-176,,,,"Wu (2003)_Network Neutrality, Boradband Discrimination_ J Tele & High Technology Law 2, 141-176",,,0,3.0,,,,,0
000081,FC before,20190701,,賴孚權,,Zanchettin,Piercarlo Zanchettin,2006,Differentiated Duopoly with Asymmetric Costs,Journal of Economics & Management Strategy,JEManageStrat,15(4),999-1015,,,,"Zanchettin (2006)_Differentiated Duopoly with Asymmetric Costs_Journal of Economics & Management Strategy 15(4), 999-1015",,,0,3.0,,,,,0
000082,FC before,20190701,,賴孚權,,Zhou,Jidong Zhou,2014,Multiproduct Search and the Joint Search E ect,American Economic Review,AER,104(9),2918-2939,,"D11,D43,D83",,"Zhou (2014)_Multiproduct search and the joint search effect_American Economic Review 104(9), 2918-2939",,,0,3.0,,,,,0
000083,FC before,20190701,A,賴孚權,,Chen and Suen,Heng Chen and Wing Suen,2019,Radicalism in Mass Movements: Asymmetric Information and Agenda Escalation,Working Paper,WorkingPaper,,,,"D74, D82","political agency problem, signaling, endogenous leadership, regime change",Chen and Suen (2019)_Radicalism in Mass Movements：Asymmetric Information and Agenda Escalation_working paper,,,0,0.0,/volume1/web/DB/000083,/volume1/web/DB/Chen and Suen (2019)_Radicalism in Mass Movements???Asymmetric Information and Agenda Escalation_working paper_en.pdf,,2020-01-15 18:33:56.713836,1
000084,"NE seminar, FC before",20190701,,賴孚權,,"Choi, Jeon and Kim","Jay Pil Choi, Doh-Shin Jeon and Byung-Cheol Kim",2019,Privacy and Personal Data Collection with Information Externalities,Journal of Public Economics,JPubE,173,113-124,,,"privacy, personal data, information externalities, GDPR","Choi, Jeon and Kim (2018)_Privacy and Personal Data Collection with Information Externalities_working paper",,,0,3.0,,,,,0
000085,"NE seminar_priority, FC before",20190701,,賴孚權,專書,Weyl,E. Glen Weyl,2010,A Price Theory of Multi-Sided Platforms,American Economic Review,AER,100(4),1642–1672,,"D42, D85, L14",,"Weyl (2010)_A Price Theory of Multi-Sided Platforms_American Economic Review 100(4), 1642-1672",,,0,2.0,,,,,0
000086,"Excellent J 2019, FC before",20190701,,賴孚權,,Athey and Luca,Susan Athey and Michael Luca,2019,Economists (and Economics) in Tech Companies,Journal of Economic Perspectives,JEPerspectives,33(1),209-230,Articles,"A11, I26, J24, J44",,"Athey and Luca (2019)_Economists (and Economics) in Tech Companies_Journal of Economic Perspectives 33(1), 209-230",,,0,3.0,,,,,0
000087,"AER2016,high citation, FC before",20190701,,賴孚權,,Alonso and Câmara,Ricardo Alonso and Odilon Câmara,2016,Persuading Voters,American Economic Review,AER,106(11),3590-3605,,"D72, D83",,"Alonso and Camara (2016)_Persuading Voters_AER 106(11), 3590-3605",,,0,3.0,,,,,0
000088,"AER2018, FC before",20190701,,賴孚權,,"Dinerstein, Einav, Levin and Sundaresan","Michael Dinerstein, Liran Einav, Jonathan Levin and Neel Sundaresan",2018,Consumer Price Search and Platform Design in Internet Commerce,American Economic Review,AER,108(7),1820-1859,,"D12, D44, D83, L81, L86",,"20190708_Dinerstein, Einav, Levin and Sundaresan (2018)_Consumer Price Search and Platform Design in Internet Commerce_AER 108(7), 1820-1859",,,0,3.0,,,,,0
000089,FC 201908,20190801,,賴孚權,,Chan and Stone,Jimmy Chan and Daniel F. Stone,2013,Media Proliferation and Partisan Selective Exposure,Public Choice,PublicChoice,156(3-4),467-490,,"D72, D81, D83, L82","Media bias, Media competition, Internet media, Selective exposure, Blogs, Elections","Chan and Stone (2013)_Media Proliferation and Partisan Selective Exposure_Public Choice 156(3-4), 467-490",,,0,2.0,,,,,0
000090,FC 201908,20190801,,,,Gentzkow and Shapiro,Matthew Gentzkow and Jesse M. Shapiro,2011,Ideological Segregation Online and Offline,Quarterly Journal of Economics,QJE,126(4),1799-1839,,"D83, L86",,"Gentzkow and Shapiro (2011)_Ideological Segregation Online and Offline_Quarterly Journal of Economics 126(4), 1799-1839",,,0,1.0,,,,,0
000091,FC 201908,20190801,,賴孚權,,Piolatto and Schuett,Amedeo Piolatto and Florian Schuett,2015,Media Competition and Electoral Politics,Journal of Public Economics,JPubE,130,80-93,,"D72, L82","Demand for news, Electoral turnout, Group-rule utilitarianism, Media bias","Piolatto and Schuett (2015)_Media Competition and Electoral Politics_Journal of Public Economics 130, 80-93",,,0,2.0,,,,,0
000092,FC 201908,20190801,,,,Pires,Armando J. Garcia Pires,2014,"Media Diversity, Advertising, and Adaptation of News to Readers' Political Preferences",Information Economics and Policy,InfEPolicy,28,28-38,,"L13, L82","Media diversity, Advertising, Two-sided markets","Pires (2014)_Media Diversity, Advertising, and Adaptation of News to Readers' Political Preferences_InformationEP 28, 28-38",,,0,1.0,,,,,0
000093,FC 201908,20190801,,,,Stone,Daniel F. Stone,2011,Ideological Media Bias,Journal of Economic Behavior & Organization,JEBehOrg,78(3),256-271,,"D81, D83, L82","Media bias, Media competition, Ideological bias, Bias blind spot, Hostile media phenomenon","Stone (2011)_Ideological Media Bias_Journal of Economic Behavior and Organization 78(3), 256-271",,,0,1.0,,,,,0
000094,FC 201908,20190801,,,,Xiang and Sarvary,Yi Xiang and Miklos Sarvary,2007,News Consumption and Media Bias,Marketing Science,MarketingSci,26(5),611-628,,,"Information goods, Complements, Media competition, Media positioning","Xiang and Sarvary (2007)_News Consumption and Media Bias_Marketing Science 26(5), 611-628",,,0,1.0,,,,,0
000095,FC 201909,20190901,,賴孚權,,Anderson and Gans,,2011,Platform siphoning：Ad-avoidance and media content,American Economic Journal: Microeconomics,AEJMicro,3(4),1-34,,,,"Anderson and Gans (2011)_Platform siphoning：Ad-avoidance and media content_American Economic Journal Microeconomics 3(4), 1-34",,,0,2.0,,,,,0
000096,FC 201909,20190901,,,,"Athey, Calvano and Gans","Susan Athey, Emilio Calvano and Joshua S. Gans",2018,The Impact of Consumer Multi-Homing on Advertising Markets,Management Science,ManagSci,64(4),1574-1590,,,,"Athey, Calvano and Gans (2018)_The Impact of Consumer Multi-Homing on Advertising Markets_Management Science 64(4), 1574-1590",,,0,1.0,,,,,0
000097,FC 201909,20190901,,賴孚權,,Bergemann and Bonatti,,2011,Targeting in Advertising Markets Implications for Offline,RAND Journal of Economics,RAND,42(3),417-443,,,,"Bergemann and Bonatti (2011)_Targeting in Advertising Markets Implications for Offline_RAND JE 42(3), 417-443",,,0,2.0,,,,,0
000098,FC 201909,20190901,,,,Germano and Meier,Fabrizio Germano and Martin Meier,2013,Concentration and self-censorship in commercial media,Journal of Public Economics,JPubE,97,117–130,,"L13, L82","Media economics, Media consolidation, Media markets, Advertising, Commercial media bias","Germano and Meier (2013)_Concentration and self-censorship in commercial media_JPublicE 97, 117–130",,,0,1.0,,,,,0
000099,FC 201909,20190901,,,,Johnson,Justin P. Johnson,2013,Targeted Advertising and Advertising Avoidance,RAND Journal of Economics,RAND,44(1),128-144,,,,"Johnson (2013)_Targeted Advertising and Advertising Avoidance_RAND JE 44(1), 128-144",,,0,1.0,,,,,0
000100,FC 201909,20190901,,,,Stone,Daniel F. Stone,2013,Media and gridlock,Journal of Public Economics,JPubE,101,94-104,,"D72, D83, L82","Media, Gridlock, Polarization, Elections, Obstruction","Stone (2013)_Media and gridlock_JPublicE 101, 94–104",,,0,1.0,,,,,0
000101,FC 201909,20190901,,,,Yu and Lai,Chia-Ming Yu and Fu-Chuan Lai,2003,Cournot competition in spatial markets: Some further results,Papers in Regional Science,PiRS,82(4),569-580,," D43, L13","Cournot model, spatial competition, differentiated products","Yu and Lai (2003)_Cournot Competition in Spatial Markets- Some Further Results_PiRS 82(4), 569-580",,,0,1.0,,,,,0
000102,"FC before, FC 201909",20190901,,,另有comment和reply,Baumol,William J. Baumol,1972,On Taxation and the Control of Externalities,American Economic Review,AER,62(3),307-322,,,,"Baumol (1972)_On Taxation and the Control of Externalities_AER 62(3), 307-322",,,0,1.0,,,,,0
000103,"FC before, FC 201909",20190901,,,,"Ebina, Matsumura and Shimizu","Takeshi Ebina, Toshihiro Matsumura and Daisuke Shimizu",2011,Spatial Cournot equilibria in a quasi-linear city,Papers in Regional Science,PiRS,90(3),613-628,,"R32, L13","Shipping, linear city, circular city, multiple equilibria, complementarity","Ebina, Matsumura and Shimizu (2011)_Spatial Cournot Equilibria in a Quasi‐Linear City_PiRS 90(3), 613-628 (1)",,,0,1.0,,,,,0
000104,"FC before, FC 201909",20190901,,,,Gabszewicz and Wauthy,Jean J. Gabszewicz and Xavier Y. Wauthy,2012,Nesting horizontal and vertical differentiation,Regional Science and Urban Economics,RSUE,42(6),998–1002,,L13,"Horizontal differentiation, Vertical differentiation, Hotelling","Gabszewicz and Wauthy (2012)_Nesting Horizontal and Vertical Differentiation_RSUE 42(6), 998-1002",,,0,0.0,,,,,0
000105,"FC before, FC 201909",20190901,,,,Guo and Lai,Wen-Chung Guo and Fu-Chuan Lai,2015,Spatial Cournot competition in a linear–circular market,Annals of Regional Science,AnnRS,54(3),819–834,,"D43, L13",,"Guo and Lai (2015)_Spatial Cournot Competition in a Linear-Circular Market_Annals of Regional Science, 54(3), 819-834",,,0,0.0,,,,,0
000106,"FC before, FC 201909",20190901,,賴孚權,,"Gupta, Lai, Pal, Sarkar and Yu","Barnali Gupta, Fu-Chuan Lai, Debashis Pal, Jyotirmoy Sarkar and Chia-Ming Yu",2004,Where to locate in a circular city?,International Journal of Industrial Organization,IJIO,22(6),759– 782,,"D43, L13","Agglomeration, Circular city, Cournot, Location oligopoly, Spatial competition","Gupta, Lai, Pal, Sarkar and Yu (2004)_Where to Locate in a Circular City_IJIO 22(6), 759-782",,,0,1.0,,,,,0
000107,"FC before, FC 201909",20190901,,,,Matsumura and Matsushima,Toshihiro Matsumura and Noriaki Matsushima,2012,Spatial Cournot competition and transportation costs in a circular city,Annals of Regional Science,AnnRS,48(1),33–44,,"R32, L13",,"Matsumura and Matsushima (2012)_Spatial Cournot Competition and Transportation Costs in a Circular City_ARS 48(1), 33-44",,,0,1.0,,,,,0
000108,"FC before, FC 201909",20190901,,賴孚權,,"Matsumura, Ohkawa and Shimizu","Toshihiro Matsumura, Takao Ohkawa and Daisuke Shimizu",2005,Partial Agglomeration or Dispersion in Spatial Cournot Competition,Southern Economic Journal,SouthernEJ,72(1),224-235,,"R32, D43, L13",,"Matsumura, Ohkawa and Shimizu (2005)_Partial Agglomeration or Dispersion in Spatial Cournot Competition_SEJ 72(1), 224-235",,,0,1.0,,,,,0
000109,"FC before, FC 201909",20190901,,賴孚權,,Matsushima and Matsumura,Noriaki Matsushima and Toshihiro Matsumura,2006,"Mixed oligopoly, foreign firms, and location choice",Regional Science and Urban Economics,RSUE,36(6),753–772,,"H42, L13, R32","Spatial agglomeration, Shipping model, Foreign firms, Herd behavior","Matsushima and Matsumura (2006)_Mixed Oligopoly, Foreign Firms, and Location Choice_RSUE 36(6), 753-772",,,0,0.0,,,,,0
000110,"FC before, FC 201909",20190901,,,,Sun,Chia-Hung Sun,2010,Spatial Cournot competition in a circular city with directional delivery constraints,Annals of Regional Science,AnnRS,45(2),273–289,,"D43, L13",,"Sun (2010)_Spatial Cournot Competition in a Circular City with Directional Delivery Constraints_ARS 45(2), 273-289",,,0,1.0,,,,,0
000111,"FC before, FC 201909",20190901,,,comment,"Thompson, Batchelder","Earl A. Thompson, Ronald Batchelder",1974,On Taxation and the Control of Externalities Comment,American Economic Review,AER,64(3),467-471,,,,Thompson and Batchelder (1974)_On Taxation and the Control of Externalities Comment_AER 64(3) 467-471,,,0,0.0,,,,,0
000112,NE seminar,20190901,D,,,Aw & Lee,,2014,"A Model of Demand, Productivity and Foreign Location Decision among Taiwanese Firms",Journal of International Economics,JIntE,92,304-316,,"F23, L25","Foreign Direct Investment, Productivity, Demand Factors","110. Aw & Lee(2014)_A Model of Demand, Productivity and Foreign Location Decision among Taiwanese Firms_Journal of International Economics 92 (2014) 304–316",,,0,0.0,/volume1/web/DB/000112,"/volume1/web/DB/110. Aw & Lee(2014)_A Model of Demand, Productivity and Foreign Location Decision among Taiwanese Firms_Journal of International Economics 92 (2014) 304???316_en.pdf",,2020-01-15 18:33:56.708488,1
000113,NE seminar,20190901,D,,,"Isaac, Caruana & Cuñat","Search, Design, and Market Structure",2012,"Search, Design, and Market Structure",American Economic Review,AER,102(2),1140-1160,,,,"91. Isaac, Caruana & Cuñat(2012)_Search, Design, and Market Structure_American Economic Review 2012, 102(2) 1140–1160",,,0,0.0,/volume1/web/DB/000113,"/volume1/web/DB/91. Isaac, Caruana & Cu??at(2012)_Search, Design, and Market Structure_American Economic Review 2012, 102(2) 1140???1160_en.pdf",,2020-01-15 18:33:56.708721,1
000114,NE seminar,20190901,D,,,"Bresnahan, Orsini and Yin","Timothy Bresnahan, Joe Orsini and Pai-Ling Yin",2014,Platform Non-Tipping: Mobile Apps,Journal of Economics,JE,37(3),645-667,,,,"3. Bresnahan, Orsini, Yin(2006)_Platform Non-Tipping Mobile Apps_RAND Journal of Economics Vol. 37, No. 3, Autumn 2006 pp. 645-667",,,0,0.0,/volume1/web/DB/000114,"/volume1/web/DB/3. Bresnahan, Orsini, Yin(2006)_Platform Non-Tipping Mobile Apps_RAND Journal of Economics Vol. 37, No. 3, Autumn 2006 pp. 645-667_en.pdf",,2020-01-15 18:33:56.708929,1
000115,NE seminar,20190901,D,,,Bulow & Klempere,Jeremy Bulow & Paul Klempere,2009,Why Do Sellers (Usually) Prefer Auctions,American Economic Review,AER,994,1544-1575,,"D44, G34, L13",,"89. Jeremy Bulow & Paul Klempere(2009)_Why Do Sellers (Usually) Prefer Auctions_American Economic Review 2009, 994, 1544–1575",,,0,0.0,/volume1/web/DB/000115,"/volume1/web/DB/89. Jeremy Bulow & Paul Klempere(2009)_Why Do Sellers (Usually) Prefer Auctions_American Economic Review 2009, 994, 1544???1575_en.pdf",,2020-01-15 18:33:56.709133,1
000116,NE seminar,20190901,D,,,Campbell,,2013,Word-of-Mouth Communication and Percolation in Social Networks,American Economic Review,AER,103(6),2466-2498,,"L12, L14",,"97. Campbell(2013)_Word-of-Mouth Communication and Percolation in Social Networks_American Economic Review 2013, 103(6) 2466-2498",,,0,0.0,/volume1/web/DB/000116,"/volume1/web/DB/97. Campbell(2013)_Word-of-Mouth Communication and Percolation in Social Networks_American Economic Review 2013, 103(6) 2466-2498_en.pdf",,2020-01-15 18:33:56.709352,1
000117,NE seminar,20190901,D,,,"Ellickson, Houghton & Timmi",,2013,Estimating Network Economies in Retail Chains a Revealed Preference Approach,RAND Journal of Economics,RAND,44(2),169-93,,,,"82. Ellickson, Houghton & Timmi(2013)_Estimating Network Economies in Retail Chains a Revealed Preference Approach_RAND Journal of EconomicsVol. 44, No. 2, Summer 2013pp. 169–193",,,0,0.0,/volume1/web/DB/000117,"/volume1/web/DB/82. Ellickson, Houghton & Timmi(2013)_Estimating Network Economies in Retail Chains a Revealed Preference Approach_RAND Journal of EconomicsVol. 44, No. 2, Summer 2013pp. 169???193_en.pdf",,2020-01-15 18:33:56.709562,1
000118,NE seminar,20190901,D,,,"Gershkov, Li, Schweinzer",,2016,How to Share it out_The Value of Information in  Teams,Journal of Economic Theory,JET,162,261-304,,"C7, D7, D8, L2","Moral hazard, Adverse selection, Leadership, Teams","111. Gershkov, Li, Schweinzer(2016)_How to Share it out_The Value of Information in  Teams_Journal of Economic Theory 162 (2016) 261–304",,,0,0.0,/volume1/web/DB/000118,"/volume1/web/DB/111. Gershkov, Li, Schweinzer(2016)_How to Share it out_The Value of Information in  Teams_Journal of Economic Theory 162 (2016) 261???304_en.pdf",,2020-01-15 18:33:56.709785,1
000119,NE seminar,20190901,D,,,Gul and Pesendorfer,,2012,The War of Information,Review of Economic Studies,REStud,79,707-734,,D72,"Political competition, Campaign spending","98. Gul and Pesendorfer(2012)_The War of Information_Review of Economic Studies (2012) 79, 707–734",,,0,0.0,/volume1/web/DB/000119,"/volume1/web/DB/98. Gul and Pesendorfer(2012)_The War of Information_Review of Economic Studies (2012) 79, 707???734_en.pdf",,2020-01-15 18:33:56.710005,1
000120,NE seminar,20190901,D,,,Hortacsu and Kastl,,2012,Testing for Common Valuation in the Presence of Bidders with Informational Advantage,Econometrica,Econometrica,80(6),2511-2542,,,"Multi-unit auctions, treasury auctions, structural estimation, nonparametric identification and estimation, test for common values","113.  Hortacsu and Kastl(2012)_Testing for Common Valuation in the Presence of Bidders with Informational Advantage_Econometrica, Vol. 80, No. 6 (November, 2012), 2511-2542",,,0,0.0,/volume1/web/DB/000120,"/volume1/web/DB/113.  Hortacsu and Kastl(2012)_Testing for Common Valuation in the Presence of Bidders with Informational Advantage_Econometrica, Vol. 80, No. 6 (November, 2012), 2511-2542_en.pdf",,2020-01-15 18:33:56.710215,1
000121,NE seminar,20190901,D,,,Jin & Rysman,"Ginger Zhe Jin, Marc Rysman",2015,Platform Pricing at Sports Card Conventions,Journal of Industrial Economics,JIE,63,0022-1821,,,,73. Jin & Rysman(2015)_Platform Pricing at Sports Card Conventions_The Journal of Industrial Economics 0022-1821Volume LXIII,,,0,0.0,/volume1/web/DB/000121,/volume1/web/DB/73. Jin & Rysman(2015)_Platform Pricing at Sports Card Conventions_The Journal of Industrial Economics 0022-1821Volume LXIII_en.pdf,,2020-01-15 18:33:56.710404,1
000122,NE seminar,20190901,D,,,Konrad,Kai A. Konrad,2013,Brothers in Arms - An Experiment on the Alliance Puzzle,Games and Economic Behavior,GamesEBeh,77,22463,,"D72, D74","Alliance, Conflict, Contest, Free-riding, Hold-up problem, In-group solidarity",15. Kai A. Konrad(2013)_Brothers in Arms - An Experiment on the Alliance Puzzle_Games and Economic Behavior 77 (2013) 61–7,,,0,0.0,/volume1/web/DB/000122,/volume1/web/DB/15. Konrad(2013)_Brothers in Arms - An Experiment on the Alliance Puzzle_Games and Economic Behavior 77 (2013) 61???7_en.pdf,,2020-01-15 18:33:56.710606,1
000123,NE seminar,20190901,D,,,Lee,Robin S. Lee,2013,Vertical Integration and Exclusivity in  Platform and Two-Sided Markets,American Economic Review,AER,103,2960–3000,," D12, L13, L22, L63, L86",,"121. Lee(2013)_Vertical Integration and Exclusivity in Platform and Two-Sided Markets_American Economic Review 2013, 103(7) 2960–3000",,,0,0.0,/volume1/web/DB/000123,"/volume1/web/DB/121. Lee(2013)_Vertical Integration and Exclusivity in Platform and Two-Sided Markets_American Economic Review 2013, 103(7) 2960???3000_en.pdf",,2020-01-15 18:33:56.710946,1
000124,NE seminar,20190901,D,,,Lewis,Gregory Lewis,2011,"Asymmetric Information, Adverse Selection and  Online Disclosure: The Case of eBay Motors",American Economic Review,AER,101,1535–1546,,,,"118. Lewis(2011)_Asymmetric Information, Adverse Selection and Online Disclosure_The Case of eBay Motors_American Economic Review 101 (June 2011) 1535–1546",,,0,0.0,/volume1/web/DB/000124,"/volume1/web/DB/118. Lewis(2011)_Asymmetric Information, Adverse Selection and Online Disclosure_The Case of eBay Motors_American Economic Review 101 (June 2011) 1535???1546_en.pdf",,2020-01-15 18:33:56.711182,1
000125,NE seminar,20190901,D,,,Ockenfels,Roth and Ockenfels,2006,Late and Multiple Bidding in Second Price Internet Auctions Theory and Evidence Concerning Different Rules for Ending An Auction,Games and Economic Behavior,GamesEBeh,55,297-320,,"C73, C90, D44","Internet auctions, Second price auctions, eBay, Amazon, Sniping, Market design",69. Roth and Ockenfels(2006)_Late and Multiple Bidding in Second Price Internet Auctions Theory and Evidence Concerning Different Rules for Ending An Auction_Games and Economic Behavior 55 (2006) 297–320,,,0,0.0,/volume1/web/DB/000125,/volume1/web/DB/69. Roth and Ockenfels(2006)_Late and Multiple Bidding in Second Price Internet Auctions Theory and Evidence Concerning Different Rules for Ending An Auction_Games and Economic Behavior 55 (2006) 297???320_en.pdf,,2020-01-15 18:33:56.711422,1
000126,NE seminar,20190901,D,,,Png,Ivan Png,2018,"Law, Social Responsibility, and Outsourcing",International Journal of Industrial Organization,IJIO,57,11-146,,,,"30. Ivan Png(2018)_Law, Social Responsibility, and Outsourcing  Qiang Fu,  Jie Gong & Ivan Png_International Journal of Industrial Organization 57 (2018) 114–146",,,0,0.0,/volume1/web/DB/000126,"/volume1/web/DB/30. Ivan Png(2018)_Law, Social Responsibility, and Outsourcing  Qiang Fu,  Jie Gong & Ivan Png_International Journal of Industrial Organization 57 (2018) 114???146_en.pdf",,2020-01-15 18:33:56.711644,1
000127,NE seminar,20190901,D,,,Wright,Wright,2002,Access Pricing under Competition： An Application to Cellular Networks,Journal of Industrial Economics,JIE,50(3),289-315,,,,"72. Wright(2002)_ Access Pricing under Competition： An Application to Cellular Networks_The Journal of Industrial Economics, Vol. 50, No. 3 (Sep., 2002), pp. 289-315",,,0,0.0,/volume1/web/DB/000127,"/volume1/web/DB/72. Wright(2002)_ Access Pricing under Competition???An Application to Cellular Networks_The Journal of Industrial Economics, Vol. 50, No. 3 (Sep., 2002), pp. 289-315_en.pdf",,2020-01-15 18:33:56.711881,1
000128,NE seminar,20190901,D,,,Zhang,Jun Zhang,2015,Information Disclosure in Contests_A Bayesian Persuasion Approach,Economic Journal,EJ,126,2197-2217,,,,"32. Jun Zhang(2015)_Information Disclosure in Contests_A Bayesian Persuasion Approach_The Economic Journal,126 (November), 2197–2217. Doi 10.1111",,,0,0.0,/volume1/web/DB/000128,"/volume1/web/DB/32. Zhang & Zhou(2015)_Information Disclosure in Contests_A Bayesian Persuasion Approach_The Economic Journal,126 (Nov)2197???2217_en.pdf",,2020-01-15 18:33:56.712100,1
000129,NE seminar,20190901,D,,,Chen and Ishida,"Chia-Hui Chena, Junichiro Ishidab",2015,Careerist Experts and Political Incorrectness,Journal of Economic Behavior & Organization,JEBehOrg,120,1–18,,,,56.  Chen and Ishida(2015)_Careerist Experts and Political Incorrectness_JournalofEconomicBehavior&Organization120(2015)1–18,,,0,0.0,/volume1/web/DB/000129,/volume1/web/DB/56.  Chen and Ishida(2015)_Careerist Experts and Political Incorrectness_JournalofEconomicBehavior&Organization120(2015)1???18_en.pdf,,2020-01-15 18:33:56.712334,1
000130,NE seminar,20190901,D,,,Chandra & Collard-Wexler,Ambarish Chandra & Allan Collard-Wexler,2009,Mergers in Two‐Sided Markets - An Application to the Canadian Newspaper Industry,Journal of Economics & Management Strategy,JEManageStrat,18(4),1045–1070,,,,"93. Ambarish Chandra & Allan Collard-Wexler(2009)_Mergers in Two‐Sided Markets - An Application to the Canadian Newspaper Industry_Journal of Economics & Management Strategy, Volume 18, Num",,,0,0.0,/volume1/web/DB/000130,"/volume1/web/DB/93. Ambarish Chandra & Allan Collard-Wexler(2009)_Mergers in Two???Sided Markets - An Application to the Canadian Newspaper Industry_Journal of Economics & Management Strategy, Volume 18, Num_en.pdf",,2020-01-15 18:33:56.712554,1
